"CNTYBNA","FACTOR1","FACTOR2","FACTOR3","JA","CT89_91","POPU","HomiRate","LnHomiRate","xcoord","ycoord","poverty","public_assistance","female_headed","unemployment","new_residents","renter-occupied","no_high_school","crowded_households","black","latino"
"0317001",-0.8541,-0.4263,1.2876,0.9281,0,3473,0,0,353068.31512187846,564942.2494561408,6.5197,5.6568,4.4872,5.4043,32.15,15.7845,28.2953,2.8355,5.433,25.1518
"0317002",-1.0396,-0.4281,1.4773999,0.9943,1,6666,15.001500150015001,2.772682477220583,350702.70413075923,564862.7459817516,5.7101,1.3909,3.1081,2.9758,30.54,6.7618,26.945,3.4337,0.4392,23.7921
"0317003",-1.0163,-0.7457,1.6301,1.0401,0,11415,0,0,350056.787019574,563630.0825642258,1.5047,4.8748,1.3305,2.2991,25.77,7.4554,20.7668,1.612,0.3916,11.9551
"0317004",-0.8807,-0.5237,1.6725,0.9659,1,9029,11.075423634954037,2.491172282563303,351678.00903837127,563685.7420406557,5.4308,5.1337,5.2313,3.9976,25.46,7.4501,25.4989,3.4203,0.6774,13.7374
"0317005",-0.7359,-0.9809,1.1429,0.9387,1,9331,10.716964955524595,2.461037787773003,353551.24380353367,563712.2136897161,4.1229,4.5082,7.5145,3.6708,37.19,10.3915,19.0849,2.2453,33.6865,8.2169
"0317101",1.0424,-0.0277,-0.221,0.8623,3,1604,187.03241895261846,5.236614389200998,357489.89700118225,564942.4979948495,33.9423,39.1868,32.9843,13.913,49.77,69.8073,40.0876,20.3426,100,0.8839
"0317102",0.9196,-0.6683,0.2576,0.8816,19,5384,352.8974739970282,5.869007249708052,356706.36781763815,565131.423636621,29.5015,31.4683,32.8358,12.6988,37.89,65.8524,36.6781,6.1815,99.7287,0.1356
"0317103",0.4735,-0.4695,1.0736001,0.8669,2,1442,138.69625520110958,4.93947045989869,355904.488112174,565005.0661639838,13.3615,28.8996,6.0302,12.029,25.57,63.1957,43.8613,6.1041,99.3954,0
"0317104",0.4068,-0.546,1.5466,0.9079,7,7450,93.95973154362416,4.553452923250494,355101.47657945304,564993.0793507841,13.8289,24.7706,17.7267,10.2438,22.58,35.333,34.1855,8.2192,99.2175,1.1602
"0317105",0.4608,-0.9958,0.3796,0.8776,7,3893,179.80991523246854,5.197446287341919,355108.00229867053,564281.5964166234,16.7503,21.4724,24.6366,8.294,34.08,64.3602,27.8719,3.844,98.048,0.5763
"0317106",0.6186,-0.4946,0.6351,0.8814,3,2996,100.13351134846462,4.61644153844713,355924.9516451976,564299.9281406712,17.5074,34.6333,19.708,10.1393,32.66,61.6279,33.7509,11.7571,100,0
"0317107",0.6145,-0.4953,0.4981,0.8816,1,4334,23.073373327180434,3.181106388513818,356261.4227849416,564230.6454531811,19.6179,27.6328,23.9048,10.4826,35.98,61.9658,38.6831,9.4017,100,1.7941
"0317108",0.592,-0.5296,0.7893,0.9287,9,5993,150.17520440513934,5.018439458267766,356931.22075612465,564320.572433875,19.2876,27.2826,19.4773,11.7611,31.49,56.8461,36.5119,8.7819,99.5334,0.9333
"0317109",0.9612,-0.096,1.1007,0.8922,13,3206,405.4897067997505,6.00755860714144,357697.22119409847,563699.1655614934,28.5035,46.5789,27.9435,11.595,26,50.5675,38.3266,15.7629,99.2316,1.6099
